index,projectName,startTime,startFilesNum,startLOC,endTime,endFilesNum,endLOC,commit,star
1,ant,1/13/2000,44,7864,9/5/2021,1322,285402,14780,309
31,apollo,3/12/2016,9,233,9/15/2021,798,87409,2596,25.7k
2,argouml,1/26/1998,162,20287,5/29/2021,1884,365782,17838,141
36,beam,12/13/2014,1,10,9/24/2021,4988,955811,33174,5k
45,calcite,4/20/2012,69,7721,9/24/2021,2135,561061,4720,2.7k
42,camel,3/19/2007,34,1725,9/24/2021,20713,2740814,54673,3.9k
30,canal,9/23/2014,275,48713,4/28/2021,653,114929,1442,20.7k
21,cassandra,3/2/2009,313,73840,9/16/2021,3078,695456,26941,6.9k
51,cloudstack,8/11/2010,1079,176261,9/24/2021,5806,976957,34584,1.1k
39,commonstext,12/6/2014,8,1111,9/25/2021,194,50851,1519,220
26,curator,7/14/2011,93,9383,8/18/2021,692,92795,2736,2.6k
16,dbeaver,10/3/2012,1322,198294,9/17/2021,4316,601387,20927,22.3k
10,dnsjava,9/6/1998,84,5947,8/16/2021,277,46574,2021,558
41,dolphinscheduler,3/29/2019,10,1480,9/25/2021,1210,156098,5306,6.5k
44,druid,10/29/2012,538,66653,9/22/2021,5586,1046006,11269,11.2k
3,elasticsearch,2/8/2010,1233,173951,9/16/2021,15972,2733396,60867,56.6k
22,flink,12/16/2010,642,112770,9/17/2021,12245,2124511,28593,17.2k
46,geode,4/28/2015,3614,977428,9/24/2021,8961,2029839,10598,2k
50,gobblin,2/4/2014,33,1113,9/24/2021,3237,410380,5859,2k
20,groovy,9/11/2003,120,18816,9/16/2021,1757,332601,18871,4.3k
13,guava,9/15/2009,65,13076,9/15/2021,3015,772951,5647,42.5k
13,guava,9/15/2009,65,13076,9/15/2021,3015,772951,5647,42.5k
4,hadoop,12/11/2017,9078,2145729,9/17/2021,11356,2699619,25306,12k
4,hadoop,12/11/2017,9078,2145729,9/17/2021,11356,2699619,25306,12k
49,helix,6/22/2011,98,10027,9/24/2021,1351,255549,4110,341
48,hudi,12/16/2016,49,8216,9/24/2021,1503,230499,1953,2.3k
34,iceberg,12/18/2017,197,27081,9/24/2021,1364,250239,1906,2k
35,incubatordoris,8/11/2017,858,158702,9/25/2021,1901,367031,3356,3.4k
47,isis,10/29/2004,804,89325,9/18/2021,5524,491320,18212,644
12,jabref,3/24/2013,686,144326,9/17/2021,1822,196679,16446,2.3k
17,jenkins,11/5/2006,142,18470,9/16/2021,1690,294674,31534,17.9k
9,jfreechart,6/29/2007,903,270121,6/19/2021,1022,284206,4192,745
40,juneau,7/31/2016,970,181845,9/24/2021,2191,512141,2686,66
23,kafka,8/1/2011,31,3517,9/16/2021,3238,667804,9478,20.1k
37,lucene,9/18/2001,103,14713,9/24/2021,5017,1134646,35372,492
5,maven,3/8/2004,3,1351,9/16/2021,1034,148168,11449,2.8k
5,maven,3/8/2004,3,1351,9/16/2021,1034,148168,11449,2.8k
11,mina,1/13/2006,202,31836,6/6/2017,319,43411,2401,796
18,mybatis3,5/17/2010,788,70969,9/17/2021,1239,98802,3842,16.3k
19,netbeans,9/11/2017,25514,6017116,9/15/2021,38206,7663993,5911,1.7k
38,pinot,11/3/2014,32,3831,9/24/2021,2642,441704,8225,3.6k
29,poi,1/31/2002,246,81378,9/16/2021,3536,674513,11192,1.3k
6,protobuf,7/10/2008,34,15263,9/15/2021,256,123585,8663,50.9k
33,pulsar,9/6/2016,529,118947,9/24/2021,3147,607418,7490,9.7k
14,rxjava,3/18/2012,4,93,9/14/2021,1883,471198,5940,45.3k
24,shardingsphere,1/18/2016,242,21165,9/17/2021,4478,314127,30309,14.6k
25,skywalking,11/7/2015,13,883,9/17/2021,1672,138888,6762,17.9k
43,solr,9/25/2001,107,15254,9/24/2021,4012,869966,35319,193
15,spark,3/29/2010,3,292,8/4/2021,1002,132316,31318,30.9k
7,springboot,4/24/2013,207,18960,9/17/2021,6214,611742,34151,57.4k
7,springboot,4/24/2013,207,18960,9/17/2021,6214,611742,34151,57.4k
28,subversion,8/8/2000,32,2928,8/27/2021,174,49073,60011,456
8,tomcat,3/27/2006,828,253638,9/16/2021,2509,602088,23639,5.6k
8,tomcat,3/27/2006,828,253638,9/16/2021,2509,602088,23639,5.6k
32,zipkin,9/22/2015,26,1767,9/9/2021,408,60245,2634,14.8k
27,zookeeper,11/3/2007,79,15285,9/11/2021,894,177853,2363,9.9k
