project,groupId,cloneType,consistId,inconsistentGroup,fileNum
incubatordoris,101370,3,0,3#4,1
incubatordoris,101370,3,0,4#3,1
incubatordoris,101370,3,0,5#6,1
incubatordoris,101210,3,0,3#4,2
incubatordoris,101210,3,0,4#3,2
incubatordoris,101417,3,0,3#4,2
incubatordoris,101417,3,0,4#3,2
incubatordoris,101417,3,0,6#5,2
incubatordoris,101059,3,0,3#4,2
incubatordoris,101059,3,0,5#6,2
incubatordoris,101059,3,0,7#8,2
incubatordoris,101059,3,0,9#10,2
incubatordoris,101059,3,0,11#12,2
incubatordoris,101059,3,0,13#14,2
incubatordoris,101059,3,0,16#15,2
incubatordoris,101059,3,0,17#18,2
incubatordoris,101059,3,0,19#20,2
incubatordoris,101059,3,0,21#22,2
incubatordoris,101059,3,0,23#24,2
incubatordoris,101059,3,0,25#26,2
incubatordoris,101059,3,0,27#28,2
incubatordoris,101189,2,0,5#6,2
incubatordoris,101189,2,0,6#5,2
incubatordoris,10147,3,0,5#6,2
incubatordoris,101220,3,0,3#4,2
incubatordoris,101220,3,0,4#3,2
incubatordoris,101220,3,0,8#7,2
incubatordoris,10839,3,0,3#4,2
incubatordoris,10839,3,0,6#5,2
incubatordoris,10839,3,0,7#8,2
incubatordoris,10473,3,0,4#3,1
incubatordoris,101073,3,0,6#5,1
incubatordoris,101073,3,0,8#7,1
incubatordoris,101117,3,0,3#4,1
incubatordoris,101117,3,0,4#3,1
incubatordoris,101679,3,0,3#4,1
incubatordoris,101104,3,0,3#4,1
incubatordoris,101104,3,0,4#3,1
incubatordoris,101378,2,0,5#6,1
incubatordoris,101378,2,0,6#5,1
incubatordoris,101376,2,0,5#6,1
incubatordoris,101376,2,0,6#5,1
incubatordoris,10612,2,0,3#4,1
incubatordoris,10612,2,0,4#3,1
incubatordoris,101668,3,0,5#6,1
incubatordoris,101668,3,0,7#8,1
incubatordoris,101668,3,0,9#10,1
incubatordoris,101668,3,0,11#12,1
incubatordoris,101668,3,0,13#14,1
incubatordoris,101668,3,0,15#16,1
incubatordoris,10146,3,0,8#7,1
incubatordoris,101397,3,0,3#4,1
incubatordoris,10332,3,0,3#4,1
incubatordoris,101219,3,0,3#4,2
incubatordoris,101219,3,0,4#3,2
incubatordoris,101219,3,0,8#7,2
incubatordoris,101374,3,0,7#8,1
incubatordoris,101374,3,0,8#7,1
incubatordoris,10435,3,0,3#4,1
incubatordoris,10435,3,0,6#5,1
incubatordoris,1019,3,0,7#8,1
incubatordoris,1019,3,0,8#7,1
incubatordoris,1019,3,0,9#10,1
incubatordoris,1019,3,0,10#9,1
incubatordoris,10501,2,0,3#4,1
incubatordoris,101285,3,0,4#3,2
incubatordoris,101285,3,0,8#7,2
incubatordoris,101285,3,0,12#11,2
incubatordoris,101112,2,0,5#6,1
incubatordoris,101112,3,0,7#8,1
incubatordoris,101287,3,0,4#3,2
incubatordoris,101287,3,0,8#7,2
incubatordoris,101287,3,0,12#11,2
incubatordoris,121119,3,0,3#4,2
incubatordoris,121119,3,0,4#3,2
incubatordoris,10448,3,0,4#3,1
incubatordoris,10972,3,0,3#4,1
incubatordoris,10972,3,0,4#3,1
incubatordoris,10972,3,0,7#8,1
incubatordoris,10972,3,0,8#7,1
incubatordoris,10441,3,0,5#6,1
incubatordoris,10441,3,0,6#5,1
incubatordoris,101103,3,0,3#4,1
incubatordoris,101103,3,0,4#3,1
incubatordoris,101190,3,0,7#8,2
incubatordoris,101190,3,0,8#7,2
incubatordoris,10244,3,0,3#4,1
incubatordoris,10244,3,0,4#3,1
incubatordoris,101092,3,0,3#4,1
incubatordoris,10947,3,0,3#4,1
incubatordoris,10947,3,0,7#8,1
incubatordoris,101034,3,0,5#6,1
incubatordoris,101034,3,0,6#5,1
incubatordoris,101400,3,0,3#4,1
incubatordoris,101400,3,0,4#3,1
incubatordoris,101111,3,0,6#5,1
incubatordoris,10452,3,0,3#4,1
incubatordoris,101093,3,0,3#4,1
incubatordoris,101093,3,0,4#3,1
incubatordoris,101093,3,0,9#10,1
incubatordoris,101093,3,0,11#12,1
incubatordoris,10148,3,0,5#6,2
incubatordoris,10148,3,0,7#8,2
incubatordoris,101175,3,0,3#4,1
incubatordoris,101175,3,0,5#6,1
incubatordoris,101175,3,0,6#5,1
incubatordoris,10168,3,0,5#6,1
incubatordoris,10168,3,0,8#7,1
incubatordoris,101682,3,0,5#6,1
incubatordoris,101682,3,0,7#8,1
incubatordoris,101113,3,0,5#6,1
incubatordoris,101113,3,0,7#8,1
incubatordoris,101113,3,0,9#10,1
incubatordoris,10245,3,0,3#4,1
incubatordoris,101035,3,0,5#6,1
incubatordoris,101035,3,0,6#5,1
incubatordoris,101678,3,0,3#4,1
incubatordoris,101678,3,0,8#7,1
incubatordoris,101678,3,0,10#9,1
incubatordoris,10997,3,0,3#4,2
incubatordoris,101533,2,0,4#3,2
incubatordoris,101125,3,0,4#3,2
incubatordoris,101125,3,0,5#6,2
incubatordoris,101230,3,0,4#3,2
incubatordoris,101230,3,0,5#6,2
incubatordoris,101230,3,0,6#5,2
incubatordoris,10109,3,0,4#3,2
incubatordoris,101241,3,0,3#4,1
incubatordoris,101241,3,0,5#6,1
incubatordoris,101241,3,0,7#8,1
incubatordoris,101241,3,0,9#10,1
incubatordoris,10984,3,0,3#4,2
incubatordoris,101135,3,0,3#4,2
incubatordoris,101135,3,0,5#6,2
incubatordoris,10281,3,0,3#4,1
incubatordoris,10281,3,0,4#3,1
incubatordoris,1096,3,0,4#3,2
incubatordoris,10175,3,0,3#4,1
incubatordoris,10175,3,0,4#3,1
incubatordoris,10462,3,0,3#4,2
incubatordoris,101153,3,0,3#4,2
incubatordoris,101377,3,0,3#4,1
incubatordoris,101377,3,0,6#5,1
incubatordoris,101377,3,0,7#8,1
incubatordoris,101377,3,0,8#7,1
incubatordoris,101121,3,0,4#3,2
incubatordoris,101121,3,0,5#6,2
incubatordoris,101121,3,0,8#7,2
incubatordoris,101420,3,0,3#4,1
incubatordoris,101420,3,0,4#3,1
incubatordoris,101136,3,0,4#3,2
incubatordoris,1014,3,0,4#3,2
incubatordoris,1014,3,0,6#5,2
incubatordoris,101540,3,0,4#3,2
incubatordoris,101229,3,0,3#4,2
incubatordoris,101229,3,0,5#6,2
incubatordoris,10163,2,0,4#3,2
incubatordoris,101598,3,0,3#4,1
incubatordoris,10576,3,0,3#4,1
incubatordoris,10576,3,0,4#3,1
incubatordoris,10796,3,0,4#3,2
incubatordoris,10288,3,0,4#3,1
incubatordoris,10288,3,0,5#6,1
incubatordoris,10288,3,0,6#5,1
incubatordoris,101010,3,0,3#4,2
incubatordoris,101199,3,0,3#4,1
incubatordoris,101199,3,0,5#6,1
incubatordoris,10561,3,0,4#3,1
incubatordoris,10283,3,0,3#4,1
incubatordoris,10283,3,0,4#3,1
incubatordoris,10541,3,0,4#3,1
incubatordoris,10443,3,0,3#4,1
incubatordoris,10443,3,0,4#3,1
incubatordoris,10443,3,0,5#6,1
incubatordoris,101380,3,0,3#4,1
incubatordoris,101380,3,0,6#5,1
incubatordoris,101380,3,0,7#8,1
incubatordoris,101380,3,0,8#7,1
incubatordoris,101445,3,0,4#3,1
incubatordoris,101445,3,0,6#5,1
incubatordoris,101445,3,0,8#7,1
incubatordoris,101445,3,0,10#9,1
incubatordoris,101445,3,0,12#11,1
incubatordoris,10118,3,0,4#3,1
incubatordoris,101535,2,0,4#3,2
incubatordoris,10119,3,0,3#4,1
incubatordoris,10280,3,0,3#4,1
incubatordoris,10280,3,0,4#3,1
incubatordoris,10854,2,0,3#4,2
incubatordoris,10573,3,0,3#4,1
incubatordoris,10573,3,0,4#3,1
incubatordoris,10504,3,0,3#4,1
incubatordoris,10504,3,0,5#6,1
incubatordoris,101353,3,0,3#4,2
incubatordoris,10300,3,0,4#3,2
incubatordoris,101250,2,0,3#4,2
